Data Source,Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,24.6,,,,,,,,,25,,,,,,,,
"Egypt, Arab Rep.",EGY,"Age at first marriage, male",SP.DYN.SMAM.MA,,28.1,27,,,,28.2,,,28.3,,28,26.9,,27.7,,,,,,27.5,,,,
Euro area,EMU,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Age at first marriage, male",SP.DYN.SMAM.MA,,25.3,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,31.6,,,,,,,,,,30.3,,,,,,,
Estonia,EST,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,26.7,,,,,,,,,,,,28.6,,35.2,,,,
Ethiopia,ETH,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,25.8,,,,,25.7,,25.2,,,,25.7,,,,,,,
European Union,EUU,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,"Age at first marriage, male",SP.DYN.SMAM.MA,,31.6,31.9,32.1,32.2,,32.4,,,32.4,32.4,32.3,32.3,32.2,32.1,32,31.9,31.9,31.9,31.9,,,,,
Fiji,FJI,"Age at first marriage, male",SP.DYN.SMAM.MA,,,26.1,,,,,,,,,,,27.7,,,,,,,,,,,
France,FRA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,32.2,32.3,32.6,,32.9,,33,,,,33.4,,27.7,33.6,,,,,,
