year,state,month,number,date
2013,Acre,Janeiro,0,1/1/2013
2014,Acre,Janeiro,0,1/1/2014
2015,Acre,Janeiro,1,1/1/2015
2016,Acre,Janeiro,12,1/1/2016
2017,Acre,Janeiro,0,1/1/2017
2013,Acre,Fevereiro,0,1/1/2013
2014,Acre,Fevereiro,0,1/1/2014
2015,Acre,Fevereiro,2,1/1/2015
2016,Acre,Fevereiro,5,1/1/2016
2017,Acre,Fevereiro,1,1/1/2017
2013,Acre,Março,2,1/1/2013
2014,Acre,Março,1,1/1/2014
2015,Acre,Março,2,1/1/2015
2016,Acre,Março,0,1/1/2016
2017,Acre,Março,0,1/1/2017
2013,Acre,Abril,19,1/1/2013
2014,Acre,Abril,7,1/1/2014
2015,Acre,Abril,3,1/1/2015
2016,Acre,Abril,0,1/1/2016
2017,Acre,Abril,1,1/1/2017
2013,Acre,Maio,4,1/1/2013
2014,Acre,Maio,1,1/1/2014
2015,Acre,Maio,2,1/1/2015
2016,Acre,Maio,21,1/1/2016
2017,Acre,Maio,10,1/1/2017
2013,Acre,Junho,8,1/1/2013
2014,Acre,Junho,17,1/1/2014
2015,Acre,Junho,40,1/1/2015
2016,Acre,Junho,87,1/1/2016
2017,Acre,Junho,45,1/1/2017
2013,Acre,Julho,54,1/1/2013
2014,Acre,Julho,60,1/1/2014
2015,Acre,Julho,109,1/1/2015
2016,Acre,Julho,533,1/1/2016
2017,Acre,Julho,457,1/1/2017
2013,Acre,Agosto,679,1/1/2013
2014,Acre,Agosto,1.1,1/1/2014
2015,Acre,Agosto,1.397,1/1/2015
2016,Acre,Agosto,2.188,1/1/2016
2017,Acre,Agosto,1.493,1/1/2017
2013,Acre,Setembro,2.136,1/1/2013
2014,Acre,Setembro,2.175,1/1/2014
2015,Acre,Setembro,2.928,1/1/2015
2016,Acre,Setembro,3.586,1/1/2016
2017,Acre,Setembro,3.429,1/1/2017
2013,Acre,Outubro,258,1/1/2013
2014,Acre,Outubro,406,1/1/2014
2015,Acre,Outubro,905,1/1/2015
2016,Acre,Outubro,509,1/1/2016
2017,Acre,Outubro,1.508,1/1/2017
2013,Acre,Novembro,79,1/1/2013
2014,Acre,Novembro,56,1/1/2014
2015,Acre,Novembro,115,1/1/2015
2016,Acre,Novembro,46,1/1/2016
2017,Acre,Novembro,98,1/1/2017
2013,Acre,Dezembro,3,1/1/2013
2014,Acre,Dezembro,6,1/1/2014
2015,Acre,Dezembro,8,1/1/2015
2016,Acre,Dezembro,6,1/1/2016
2013,Alagoas,Janeiro,49,1/1/2013
2014,Alagoas,Janeiro,54,1/1/2014
2015,Alagoas,Janeiro,81,1/1/2015
2016,Alagoas,Janeiro,24,1/1/2016
2017,Alagoas,Janeiro,38,1/1/2017
2017,Alagoas,Janeiro,38,1/1/2017
2013,Alagoas,Fevereiro,19,1/1/2013
2014,Alagoas,Fevereiro,29,1/1/2014
2015,Alagoas,Fevereiro,46,1/1/2015
2016,Alagoas,Fevereiro,14,1/1/2016
2017,Alagoas,Fevereiro,21,1/1/2017
2013,Alagoas,Março,31,1/1/2013
2014,Alagoas,Março,28,1/1/2014
2015,Alagoas,Março,32,1/1/2015
2016,Alagoas,Março,9,1/1/2016
2017,Alagoas,Março,23,1/1/2017
2013,Alagoas,Abril,25,1/1/2013
2014,Alagoas,Abril,16,1/1/2014
2015,Alagoas,Abril,63,1/1/2015
2016,Alagoas,Abril,13,1/1/2016
2017,Alagoas,Abril,7,1/1/2017
2013,Alagoas,Maio,2,1/1/2013
2014,Alagoas,Maio,1,1/1/2014
2015,Alagoas,Maio,18,1/1/2015
2016,Alagoas,Maio,4,1/1/2016
2017,Alagoas,Maio,1,1/1/2017
2013,Alagoas,Junho,1,1/1/2013
2014,Alagoas,Junho,2,1/1/2014
2015,Alagoas,Junho,2,1/1/2015
2016,Alagoas,Junho,5,1/1/2016
2017,Alagoas,Junho,2,1/1/2017
2013,Alagoas,Julho,0,1/1/2013
2014,Alagoas,Julho,1,1/1/2014
2015,Alagoas,Julho,0,1/1/2015
2016,Alagoas,Julho,3,1/1/2016
2017,Alagoas,Julho,0,1/1/2017
2013,Alagoas,Agosto,0,1/1/2013
2014,Alagoas,Agosto,3,1/1/2014
2015,Alagoas,Agosto,3,1/1/2015
2016,Alagoas,Agosto,5,1/1/2016
2017,Alagoas,Agosto,1,1/1/2017
2013,Alagoas,Setembro,4,1/1/2013
2014,Alagoas,Setembro,11,1/1/2014
2015,Alagoas,Setembro,7,1/1/2015
2016,Alagoas,Setembro,18,1/1/2016
2017,Alagoas,Setembro,4,1/1/2017
2013,Alagoas,Outubro,25,1/1/2013
2014,Alagoas,Outubro,7,1/1/2014
2015,Alagoas,Outubro,40,1/1/2015
2016,Alagoas,Outubro,74,1/1/2016
2017,Alagoas,Outubro,14,1/1/2017
2013,Alagoas,Novembro,10,1/1/2013
2014,Alagoas,Novembro,14,1/1/2014
2015,Alagoas,Novembro,162,1/1/2015
2016,Alagoas,Novembro,76,1/1/2016
2017,Alagoas,Novembro,10,1/1/2017
2013,Alagoas,Dezembro,42,1/1/2013
2014,Alagoas,Dezembro,24,1/1/2014
2015,Alagoas,Dezembro,136,1/1/2015
2016,Alagoas,Dezembro,155,1/1/2016
2013,Amapa,Janeiro,3,1/1/2013
2014,Amapa,Janeiro,10,1/1/2014
2015,Amapa,Janeiro,14,1/1/2015
2016,Amapa,Janeiro,19,1/1/2016
2017,Amapa,Janeiro,2,1/1/2017
2013,Amapa,Fevereiro,0,1/1/2013
2014,Amapa,Fevereiro,2,1/1/2014
2015,Amapa,Fevereiro,1,1/1/2015
2016,Amapa,Fevereiro,1,1/1/2016
2017,Amapa,Fevereiro,0,1/1/2017
2013,Amapa,Março,0,1/1/2013
2014,Amapa,Março,1,1/1/2014
2015,Amapa,Março,2,1/1/2015
2016,Amapa,Março,5,1/1/2016
2017,Amapa,Março,0,1/1/2017
2013,Amapa,Abril,2,1/1/2013
2014,Amapa,Abril,0,1/1/2014
2015,Amapa,Abril,0,1/1/2015
2016,Amapa,Abril,0,1/1/2016
2017,Amapa,Abril,3,1/1/2017
2013,Amapa,Maio,0,1/1/2013
2014,Amapa,Maio,0,1/1/2014
2015,Amapa,Maio,0,1/1/2015
2016,Amapa,Maio,1,1/1/2016
2017,Amapa,Maio,1,1/1/2017
2013,Amapa,Junho,1,1/1/2013
2014,Amapa,Junho,0,1/1/2014
2015,Amapa,Junho,3,1/1/2015
2016,Amapa,Junho,2,1/1/2016
2017,Amapa,Junho,2,1/1/2017
2013,Amapa,Julho,1,1/1/2013
2014,Amapa,Julho,4,1/1/2014
2015,Amapa,Julho,5,1/1/2015
2016,Amapa,Julho,1,1/1/2016
2017,Amapa,Julho,3,1/1/2017
2013,Amapa,Agosto,9,1/1/2013
2014,Amapa,Agosto,18,1/1/2014
2015,Amapa,Agosto,40,1/1/2015
2016,Amapa,Agosto,37,1/1/2016
2017,Amapa,Agosto,33,1/1/2017
2013,Amapa,Setembro,85,1/1/2013
2014,Amapa,Setembro,137,1/1/2014
2015,Amapa,Setembro,192,1/1/2015
2016,Amapa,Setembro,142,1/1/2016
2017,Amapa,Setembro,95,1/1/2017
2013,Amapa,Outubro,385,1/1/2013
2014,Amapa,Outubro,480,1/1/2014
2015,Amapa,Outubro,827,1/1/2015
2016,Amapa,Outubro,793,1/1/2016
2017,Amapa,Outubro,468,1/1/2017
2013,Amapa,Novembro,341,1/1/2013
2014,Amapa,Novembro,484,1/1/2014
2015,Amapa,Novembro,1.3,1/1/2015
2016,Amapa,Novembro,1.161,1/1/2016
2017,Amapa,Novembro,858,1/1/2017
2013,Amapa,Dezembro,148,1/1/2013
2014,Amapa,Dezembro,354,1/1/2014
2015,Amapa,Dezembro,269,1/1/2015
2016,Amapa,Dezembro,491,1/1/2016
2013,Amazonas,Janeiro,37,1/1/2013
2014,Amazonas,Janeiro,46,1/1/2014
2015,Amazonas,Janeiro,35,1/1/2015
2016,Amazonas,Janeiro,770,1/1/2016
2017,Amazonas,Janeiro,65,1/1/2017
2013,Amazonas,Fevereiro,16,1/1/2013
2014,Amazonas,Fevereiro,49,1/1/2014
2015,Amazonas,Fevereiro,107,1/1/2015
2016,Amazonas,Fevereiro,275,1/1/2016
2017,Amazonas,Fevereiro,52,1/1/2017
2013,Amazonas,Março,49,1/1/2013
2014,Amazonas,Março,50,1/1/2014
2015,Amazonas,Março,46,1/1/2015
2016,Amazonas,Março,140,1/1/2016
2017,Amazonas,Março,45,1/1/2017
2013,Amazonas,Abril,20,1/1/2013
2014,Amazonas,Abril,25,1/1/2014
2015,Amazonas,Abril,24,1/1/2015
2016,Amazonas,Abril,22,1/1/2016
2017,Amazonas,Abril,20,1/1/2017
2013,Amazonas,Maio,19,1/1/2013
2014,Amazonas,Maio,12,1/1/2014
2015,Amazonas,Maio,10,1/1/2015
2016,Amazonas,Maio,30,1/1/2016
2017,Amazonas,Maio,40,1/1/2017
2013,Amazonas,Junho,56,1/1/2013
2014,Amazonas,Junho,74,1/1/2014
2015,Amazonas,Junho,33,1/1/2015
2016,Amazonas,Junho,90,1/1/2016
2017,Amazonas,Junho,119,1/1/2017
2013,Amazonas,Julho,248,1/1/2013
2014,Amazonas,Julho,202,1/1/2014
2015,Amazonas,Julho,356,1/1/2015
2016,Amazonas,Julho,1.137,1/1/2016
2017,Amazonas,Julho,1.975,1/1/2017
2013,Amazonas,Agosto,1.276,1/1/2013
2014,Amazonas,Agosto,3.852,1/1/2014
2015,Amazonas,Agosto,4.564,1/1/2015
2016,Amazonas,Agosto,3.611,1/1/2016
2017,Amazonas,Agosto,6.316,1/1/2017
2013,Amazonas,Setembro,1.739,1/1/2013
2014,Amazonas,Setembro,3.057,1/1/2014
2015,Amazonas,Setembro,5.882,1/1/2015
2016,Amazonas,Setembro,3.119,1/1/2016
2017,Amazonas,Setembro,4.033,1/1/2017
2013,Amazonas,Outubro,1.202,1/1/2013
2014,Amazonas,Outubro,952,1/1/2014
2015,Amazonas,Outubro,2.494,1/1/2015
2016,Amazonas,Outubro,2.105,1/1/2016
2017,Amazonas,Outubro,1.581,1/1/2017
2013,Amazonas,Novembro,220,1/1/2013
2014,Amazonas,Novembro,676,1/1/2014
2015,Amazonas,Novembro,1.054,1/1/2015
2016,Amazonas,Novembro,591,1/1/2016
2017,Amazonas,Novembro,552,1/1/2017
2013,Amazonas,Dezembro,236,1/1/2013
2014,Amazonas,Dezembro,293,1/1/2014
2015,Amazonas,Dezembro,565,1/1/2015
2016,Amazonas,Dezembro,133,1/1/2016
2013,Bahia,Janeiro,125,1/1/2013
2014,Bahia,Janeiro,132,1/1/2014
2015,Bahia,Janeiro,256,1/1/2015
2016,Bahia,Janeiro,285,1/1/2016
2017,Bahia,Janeiro,154,1/1/2017
2013,Bahia,Fevereiro,231,1/1/2013
2014,Bahia,Fevereiro,107,1/1/2014
2015,Bahia,Fevereiro,143,1/1/2015
2016,Bahia,Fevereiro,418,1/1/2016
2017,Bahia,Fevereiro,100,1/1/2017
2013,Bahia,Março,363,1/1/2013
2014,Bahia,Março,148,1/1/2014
2015,Bahia,Março,229,1/1/2015
2016,Bahia,Março,281,1/1/2016
2017,Bahia,Março,163,1/1/2017
2013,Bahia,Abril,108,1/1/2013
2014,Bahia,Abril,183,1/1/2014
2015,Bahia,Abril,190,1/1/2015
2016,Bahia,Abril,217,1/1/2016
2017,Bahia,Abril,94,1/1/2017
2013,Bahia,Maio,141,1/1/2013
2014,Bahia,Maio,224,1/1/2014
2015,Bahia,Maio,144,1/1/2015
2016,Bahia,Maio,259,1/1/2016
2017,Bahia,Maio,121,1/1/2017
2013,Bahia,Junho,208,1/1/2013
2014,Bahia,Junho,243,1/1/2014
2015,Bahia,Junho,242,1/1/2015
2016,Bahia,Junho,416,1/1/2016
2017,Bahia,Junho,329,1/1/2017
2013,Bahia,Julho,362,1/1/2013
2014,Bahia,Julho,249,1/1/2014
2015,Bahia,Julho,306,1/1/2015
2016,Bahia,Julho,345,1/1/2016
2017,Bahia,Julho,300,1/1/2017
2013,Bahia,Agosto,610,1/1/2013
2014,Bahia,Agosto,674,1/1/2014
2015,Bahia,Agosto,829,1/1/2015
2016,Bahia,Agosto,724,1/1/2016
2017,Bahia,Agosto,1.018,1/1/2017
2013,Bahia,Setembro,2.681,1/1/2013
2014,Bahia,Setembro,2.604,1/1/2014
2015,Bahia,Setembro,7.956,1/1/2015
2016,Bahia,Setembro,1.819,1/1/2016
2017,Bahia,Setembro,1.791,1/1/2017
2013,Bahia,Outubro,1.969,1/1/2013
2014,Bahia,Outubro,2.763,1/1/2014
2015,Bahia,Outubro,4.989,1/1/2015
2016,Bahia,Outubro,1.415,1/1/2016
2017,Bahia,Outubro,4.005,1/1/2017
2013,Bahia,Novembro,288,1/1/2013
2014,Bahia,Novembro,348,1/1/2014
2015,Bahia,Novembro,1.705,1/1/2015
2016,Bahia,Novembro,408,1/1/2016
2017,Bahia,Novembro,174,1/1/2017
2013,Bahia,Dezembro,131,1/1/2013
2014,Bahia,Dezembro,144,1/1/2014
2015,Bahia,Dezembro,1.408,1/1/2015
2016,Bahia,Dezembro,164,1/1/2016
2013,Ceara,Janeiro,103,1/1/2013
2014,Ceara,Janeiro,115,1/1/2014
2015,Ceara,Janeiro,207,1/1/2015
2016,Ceara,Janeiro,100,1/1/2016
2017,Ceara,Janeiro,91,1/1/2017
2013,Ceara,Fevereiro,49,1/1/2013
2014,Ceara,Fevereiro,18,1/1/2014
2015,Ceara,Fevereiro,25,1/1/2015
2016,Ceara,Fevereiro,13,1/1/2016
2017,Ceara,Fevereiro,9,1/1/2017
2013,Ceara,Março,17,1/1/2013
2014,Ceara,Março,6,1/1/2014
2015,Ceara,Março,20,1/1/2015
2016,Ceara,Março,4,1/1/2016
2017,Ceara,Março,4,1/1/2017
2013,Ceara,Abril,4,1/1/2013
2014,Ceara,Abril,4,1/1/2014
2015,Ceara,Abril,3,1/1/2015
2016,Ceara,Abril,10,1/1/2016
2017,Ceara,Abril,6,1/1/2017
2013,Ceara,Maio,4,1/1/2013
2014,Ceara,Maio,4,1/1/2014
2015,Ceara,Maio,17,1/1/2015
2016,Ceara,Maio,8,1/1/2016
2017,Ceara,Maio,9,1/1/2017
2013,Ceara,Junho,5,1/1/2013
2014,Ceara,Junho,19,1/1/2014
2015,Ceara,Junho,22,1/1/2015
2016,Ceara,Junho,45,1/1/2016
2017,Ceara,Junho,23,1/1/2017
2013,Ceara,Julho,4,1/1/2013
2014,Ceara,Julho,47,1/1/2014
2015,Ceara,Julho,25,1/1/2015
2016,Ceara,Julho,124,1/1/2016
2017,Ceara,Julho,26,1/1/2017
2013,Ceara,Agosto,32,1/1/2013
2014,Ceara,Agosto,155,1/1/2014
2015,Ceara,Agosto,127,1/1/2015
2016,Ceara,Agosto,293,1/1/2016
2017,Ceara,Agosto,121,1/1/2017
2013,Ceara,Setembro,177,1/1/2013
2014,Ceara,Setembro,155,1/1/2014
2015,Ceara,Setembro,214,1/1/2015
2016,Ceara,Setembro,370,1/1/2016
2017,Ceara,Setembro,505,1/1/2017
2013,Ceara,Outubro,466,1/1/2013
2014,Ceara,Outubro,517,1/1/2014
2015,Ceara,Outubro,658,1/1/2015
2016,Ceara,Outubro,1.31,1/1/2016
2017,Ceara,Outubro,949,1/1/2017
2013,Ceara,Novembro,1.081,1/1/2013
2014,Ceara,Novembro,829,1/1/2014
2015,Ceara,Novembro,1.081,1/1/2015
2016,Ceara,Novembro,1.328,1/1/2016
2017,Ceara,Novembro,812,1/1/2017
2013,Ceara,Dezembro,956,1/1/2013
2014,Ceara,Dezembro,643,1/1/2014
2015,Ceara,Dezembro,1.021,1/1/2015
2016,Ceara,Dezembro,819,1/1/2016
2013,Distrito Federal,Janeiro,0,1/1/2013
2014,Distrito Federal,Janeiro,0,1/1/2014
2015,Distrito Federal,Janeiro,1,1/1/2015
2016,Distrito Federal,Janeiro,1,1/1/2016
2017,Distrito Federal,Janeiro,1,1/1/2017
2013,Distrito Federal,Fevereiro,1,1/1/2013
2014,Distrito Federal,Fevereiro,1,1/1/2014
2015,Distrito Federal,Fevereiro,0,1/1/2015
2016,Distrito Federal,Fevereiro,2,1/1/2016
2017,Distrito Federal,Fevereiro,0,1/1/2017
2013,Distrito Federal,Março,1,1/1/2013
2014,Distrito Federal,Março,1,1/1/2014
2015,Distrito Federal,Março,0,1/1/2015
2016,Distrito Federal,Março,1,1/1/2016
2017,Distrito Federal,Março,0,1/1/2017
2013,Distrito Federal,Abril,1,1/1/2013
2014,Distrito Federal,Abril,2,1/1/2014
2015,Distrito Federal,Abril,0,1/1/2015
2016,Distrito Federal,Abril,5,1/1/2016
2017,Distrito Federal,Abril,1,1/1/2017
2013,Distrito Federal,Maio,2,1/1/2013
2014,Distrito Federal,Maio,9,1/1/2014
2015,Distrito Federal,Maio,2,1/1/2015
2016,Distrito Federal,Maio,15,1/1/2016
2017,Distrito Federal,Maio,6,1/1/2017
2013,Distrito Federal,Junho,4,1/1/2013
2014,Distrito Federal,Junho,6,1/1/2014
2015,Distrito Federal,Junho,1,1/1/2015
2016,Distrito Federal,Junho,42,1/1/2016
2017,Distrito Federal,Junho,23,1/1/2017
2013,Distrito Federal,Julho,22,1/1/2013
2014,Distrito Federal,Julho,27,1/1/2014
2015,Distrito Federal,Julho,15,1/1/2015
2016,Distrito Federal,Julho,79,1/1/2016
2017,Distrito Federal,Julho,44,1/1/2017
2013,Distrito Federal,Agosto,34,1/1/2013
2014,Distrito Federal,Agosto,99,1/1/2014
2015,Distrito Federal,Agosto,53,1/1/2015
2016,Distrito Federal,Agosto,29,1/1/2016
2017,Distrito Federal,Agosto,147,1/1/2017
2013,Distrito Federal,Setembro,31,1/1/2013
2014,Distrito Federal,Setembro,72,1/1/2014
2015,Distrito Federal,Setembro,76,1/1/2015
2016,Distrito Federal,Setembro,58,1/1/2016
2017,Distrito Federal,Setembro,122,1/1/2017
2013,Distrito Federal,Outubro,3,1/1/2013
2014,Distrito Federal,Outubro,34,1/1/2014
2015,Distrito Federal,Outubro,21,1/1/2015
2016,Distrito Federal,Outubro,9,1/1/2016
2017,Distrito Federal,Outubro,66,1/1/2017
2013,Distrito Federal,Novembro,0,1/1/2013
2014,Distrito Federal,Novembro,0,1/1/2014
2015,Distrito Federal,Novembro,3,1/1/2015
2016,Distrito Federal,Novembro,1,1/1/2016
2017,Distrito Federal,Novembro,0,1/1/2017
2013,Distrito Federal,Dezembro,2,1/1/2013
2014,Distrito Federal,Dezembro,0,1/1/2014
2015,Distrito Federal,Dezembro,0,1/1/2015
2016,Distrito Federal,Dezembro,0,1/1/2016
2013,Espirito Santo,Janeiro,10,1/1/2013
2014,Espirito Santo,Janeiro,11,1/1/2014
2015,Espirito Santo,Janeiro,76,1/1/2015
2016,Espirito Santo,Janeiro,43,1/1/2016
2017,Espirito Santo,Janeiro,13,1/1/2017
2013,Espirito Santo,Fevereiro,15,1/1/2013
2014,Espirito Santo,Fevereiro,17,1/1/2014
2015,Espirito Santo,Fevereiro,60,1/1/2015
2016,Espirito Santo,Fevereiro,24,1/1/2016
2017,Espirito Santo,Fevereiro,8,1/1/2017
2013,Espirito Santo,Março,13,1/1/2013
2014,Espirito Santo,Março,15,1/1/2014
2015,Espirito Santo,Março,25,1/1/2015
2016,Espirito Santo,Março,107,1/1/2016
2017,Espirito Santo,Março,9,1/1/2017
2013,Espirito Santo,Abril,16,1/1/2013
2014,Espirito Santo,Abril,15,1/1/2014
2015,Espirito Santo,Abril,33,1/1/2015
2016,Espirito Santo,Abril,57,1/1/2016
2017,Espirito Santo,Abril,7,1/1/2017
2013,Espirito Santo,Maio,14,1/1/2013
2014,Espirito Santo,Maio,18,1/1/2014
2015,Espirito Santo,Maio,17,1/1/2015
2016,Espirito Santo,Maio,48,1/1/2016
2017,Espirito Santo,Maio,10,1/1/2017
2013,Espirito Santo,Junho,22,1/1/2013
2014,Espirito Santo,Junho,9,1/1/2014
2015,Espirito Santo,Junho,18,1/1/2015
2016,Espirito Santo,Junho,49,1/1/2016
2017,Espirito Santo,Junho,37,1/1/2017
2013,Espirito Santo,Julho,20,1/1/2013
2014,Espirito Santo,Julho,17,1/1/2014
2015,Espirito Santo,Julho,30,1/1/2015
2016,Espirito Santo,Julho,42,1/1/2016
2017,Espirito Santo,Julho,3,1/1/2017
2013,Espirito Santo,Agosto,53,1/1/2013
2014,Espirito Santo,Agosto,47,1/1/2014
2015,Espirito Santo,Agosto,35,1/1/2015
2016,Espirito Santo,Agosto,78,1/1/2016
2017,Espirito Santo,Agosto,30,1/1/2017
2013,Espirito Santo,Setembro,30,1/1/2013
2014,Espirito Santo,Setembro,61,1/1/2014
2015,Espirito Santo,Setembro,228,1/1/2015
2016,Espirito Santo,Setembro,128,1/1/2016
2017,Espirito Santo,Setembro,58,1/1/2017
2013,Espirito Santo,Outubro,37,1/1/2013
2014,Espirito Santo,Outubro,89,1/1/2014
2015,Espirito Santo,Outubro,307,1/1/2015
2016,Espirito Santo,Outubro,58,1/1/2016
2017,Espirito Santo,Outubro,56,1/1/2017
2013,Espirito Santo,Novembro,11,1/1/2013
2014,Espirito Santo,Novembro,20,1/1/2014
2015,Espirito Santo,Novembro,141,1/1/2015
2016,Espirito Santo,Novembro,8,1/1/2016
2017,Espirito Santo,Novembro,3,1/1/2017
2013,Espirito Santo,Dezembro,9,1/1/2013
2014,Espirito Santo,Dezembro,28,1/1/2014
2015,Espirito Santo,Dezembro,61,1/1/2015
2016,Espirito Santo,Dezembro,12,1/1/2016
2013,Goias,Janeiro,33,1/1/2013
2014,Goias,Janeiro,80,1/1/2014
2015,Goias,Janeiro,118,1/1/2015
2016,Goias,Janeiro,52,1/1/2016
2017,Goias,Janeiro,53,1/1/2017
2013,Goias,Fevereiro,86,1/1/2013
2014,Goias,Fevereiro,44,1/1/2014
2015,Goias,Fevereiro,53,1/1/2015
2016,Goias,Fevereiro,117,1/1/2016
2017,Goias,Fevereiro,75,1/1/2017
2013,Goias,Março,79,1/1/2013
2014,Goias,Março,80,1/1/2014
2015,Goias,Março,76,1/1/2015
2016,Goias,Março,136,1/1/2016
2017,Goias,Março,115,1/1/2017
2013,Goias,Abril,42,1/1/2013
2014,Goias,Abril,138,1/1/2014
2015,Goias,Abril,89,1/1/2015
2016,Goias,Abril,167,1/1/2016
2017,Goias,Abril,60,1/1/2017
2013,Goias,Maio,150,1/1/2013
2014,Goias,Maio,210,1/1/2014
2015,Goias,Maio,129,1/1/2015
2016,Goias,Maio,233,1/1/2016
2017,Goias,Maio,135,1/1/2017
2013,Goias,Junho,192,1/1/2013
2014,Goias,Junho,318,1/1/2014
2015,Goias,Junho,277,1/1/2015
2016,Goias,Junho,289,1/1/2016
2017,Goias,Junho,442,1/1/2017
2013,Goias,Julho,350,1/1/2013
2014,Goias,Julho,446,1/1/2014
2015,Goias,Julho,347,1/1/2015
2016,Goias,Julho,837,1/1/2016
2017,Goias,Julho,577,1/1/2017
2013,Goias,Agosto,488,1/1/2013
2014,Goias,Agosto,1.255,1/1/2014
2015,Goias,Agosto,943,1/1/2015
2016,Goias,Agosto,1.032,1/1/2016
2017,Goias,Agosto,1.492,1/1/2017
2013,Goias,Setembro,684,1/1/2013
2014,Goias,Setembro,1.687,1/1/2014
2015,Goias,Setembro,2.296,1/1/2015
2016,Goias,Setembro,1.703,1/1/2016
2017,Goias,Setembro,3.238,1/1/2017
2013,Goias,Outubro,606,1/1/2013
2014,Goias,Outubro,1.947,1/1/2014
2015,Goias,Outubro,1.807,1/1/2015
2016,Goias,Outubro,522,1/1/2016
2017,Goias,Outubro,2.401,1/1/2017
2013,Goias,Novembro,183,1/1/2013
2014,Goias,Novembro,181,1/1/2014
2015,Goias,Novembro,547,1/1/2015
2016,Goias,Novembro,123,1/1/2016
2017,Goias,Novembro,117,1/1/2017
2013,Goias,Dezembro,86,1/1/2013
2014,Goias,Dezembro,68,1/1/2014
2015,Goias,Dezembro,179,1/1/2015
2016,Goias,Dezembro,64,1/1/2016
2013,Maranhao,Janeiro,209,1/1/2013
2014,Maranhao,Janeiro,195,1/1/2014
2015,Maranhao,Janeiro,494,1/1/2015
2016,Maranhao,Janeiro,412,1/1/2016
2017,Maranhao,Janeiro,187,1/1/2017
2013,Maranhao,Fevereiro,62,1/1/2013
2014,Maranhao,Fevereiro,29,1/1/2014
2015,Maranhao,Fevereiro,95,1/1/2015
2016,Maranhao,Fevereiro,318,1/1/2016
2017,Maranhao,Fevereiro,47,1/1/2017
2013,Maranhao,Março,30,1/1/2013
2014,Maranhao,Março,59,1/1/2014
2015,Maranhao,Março,53,1/1/2015
2016,Maranhao,Março,113,1/1/2016
2017,Maranhao,Março,32,1/1/2017
2013,Maranhao,Abril,62,1/1/2013
2014,Maranhao,Abril,78,1/1/2014
2015,Maranhao,Abril,119,1/1/2015
2016,Maranhao,Abril,113,1/1/2016
2017,Maranhao,Abril,91,1/1/2017
2013,Maranhao,Maio,100,1/1/2013
2014,Maranhao,Maio,148,1/1/2014
2015,Maranhao,Maio,194,1/1/2015
2016,Maranhao,Maio,206,1/1/2016
2017,Maranhao,Maio,142,1/1/2017
2013,Maranhao,Junho,498,1/1/2013
2014,Maranhao,Junho,812,1/1/2014
2015,Maranhao,Junho,887,1/1/2015
2016,Maranhao,Junho,709,1/1/2016
2017,Maranhao,Junho,885,1/1/2017
2013,Maranhao,Julho,1.111,1/1/2013
2014,Maranhao,Julho,2.068,1/1/2014
2015,Maranhao,Julho,1.642,1/1/2015
2016,Maranhao,Julho,2.096,1/1/2016
2017,Maranhao,Julho,2.521,1/1/2017
2013,Maranhao,Agosto,2.098,1/1/2013
2014,Maranhao,Agosto,5.592,1/1/2014
2015,Maranhao,Agosto,5.428,1/1/2015
2016,Maranhao,Agosto,3.723,1/1/2016
2017,Maranhao,Agosto,3.875,1/1/2017
2013,Maranhao,Setembro,3.88,1/1/2013
2014,Maranhao,Setembro,4.373,1/1/2014
2015,Maranhao,Setembro,6.423,1/1/2015
2016,Maranhao,Setembro,3.166,1/1/2016
2017,Maranhao,Setembro,14.825,1/1/2017
2013,Maranhao,Outubro,2.918,1/1/2013
2014,Maranhao,Outubro,5.812,1/1/2014
2015,Maranhao,Outubro,6.746,1/1/2015
2016,Maranhao,Outubro,5.351,1/1/2016
2017,Maranhao,Outubro,6.011,1/1/2017
2013,Maranhao,Novembro,2.529,1/1/2013
2014,Maranhao,Novembro,3.869,1/1/2014
2015,Maranhao,Novembro,4.35,1/1/2015
2016,Maranhao,Novembro,3.982,1/1/2016
2017,Maranhao,Novembro,2.3,1/1/2017
2013,Maranhao,Dezembro,2.692,1/1/2013
2014,Maranhao,Dezembro,2.4,1/1/2014
2015,Maranhao,Dezembro,3.706,1/1/2015
2016,Maranhao,Dezembro,1.577,1/1/2016
2013,Mato Grosso,Janeiro,269,1/1/2013
2014,Mato Grosso,Janeiro,315,1/1/2014
2015,Mato Grosso,Janeiro,960,1/1/2015
2016,Mato Grosso,Janeiro,374,1/1/2016
2017,Mato Grosso,Janeiro,482,1/1/2017
2013,Mato Grosso,Fevereiro,375,1/1/2013
2014,Mato Grosso,Fevereiro,199,1/1/2014
2015,Mato Grosso,Fevereiro,542,1/1/2015
2016,Mato Grosso,Fevereiro,1.05,1/1/2016
2017,Mato Grosso,Fevereiro,337,1/1/2017
2013,Mato Grosso,Março,563,1/1/2013
2014,Mato Grosso,Março,655,1/1/2014
2015,Mato Grosso,Março,705,1/1/2015
2016,Mato Grosso,Março,1.085,1/1/2016
2017,Mato Grosso,Março,719,1/1/2017
2013,Mato Grosso,Abril,338,1/1/2013
2014,Mato Grosso,Abril,859,1/1/2014
2015,Mato Grosso,Abril,947,1/1/2015
2016,Mato Grosso,Abril,1.77,1/1/2016
2017,Mato Grosso,Abril,606,1/1/2017
